Player,Pos,Squad,Min,xAG,PrgC,PrgP,PrgR,TotPrgUsg,PrgUsgAA,Sh,ShAA,Tkl+Int,tklintAA,Recov,RecovAA,Won,Lost,Diff,HP
Isabella Obaze,DF,Thorns,748,0.2,3,18,3,24,-34,7,3,19,-8,34,-6,8,8,0,-45
Shae Holmes,DF,Reign,564,0,2,14,15,31,-27,2,-2,18,-9,29,-11,10,7,3,-46
Madison Pogarch,DF,Royals,579,0.2,7,19,10,36,-22,2,-2,20,-7,29,-11,3,7,-4,-46
Katie Lind,DF,Dash,1080,0.6,0,14,0,14,-44,12,8,22,-5,33,-7,22,21,1,-47
Mandy Freeman,DF,Gotham FC,611,0.2,6,28,6,40,-18,1,-3,7,-20,32,-8,6,6,0,-49
Miyabi Moriya,DF,Angel City,470,0.8,1,22,15,38,-20,3,-1,25,-2,10,-30,8,7,1,-52
Kristen McNabb,DF,Wave,859,0,1,22,3,26,-32,4,0,16,-11,34,-6,5,12,-7,-56
Malia Berkely,DF,Courage,488,0.4,3,26,2,31,-27,5,1,13,-14,22,-18,2,3,-1,-59
Savannah King,DF,Angel City,708,0,1,11,0,12,-46,4,0,16,-11,27,-13,4,7,-3,-73
Lauren Flynn,DF,Royals,581,0,0,13,0,13,-45,4,0,19,-8,15,-25,4,5,-1,-79
Kennedy Wesley,DF,Wave,700,0.1,0,14,1,15,-43,3,-1,5,-22,26,-14,6,5,1,-79
Alana Cook,DF,Current,586,0,0,7,0,7,-51,2,-2,15,-12,21,-19,3,1,2,-82
Megan Reid,DF,Angel City,487,0.1,0,11,1,12,-46,6,2,10,-17,15,-25,5,7,-2,-88
Elizabeth Ball,DF,Current,629,0,0,4,1,5,-53,0,-4,10,-17,22,-18,3,3,0,-92
Mallie McKenzie,DF,Thorns,402,0.2,1,8,4,13,-45,1,-3,10,-17,12,-28,5,4,1,-92
